<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.14	09:00:00	7911.522	7938.550	7896.276	7908.750	61400	154091	1
2021.04.14	09:15:00	7909.443	7918.453	7897.662	7907.364	52502	129355	1
2021.04.14	09:30:00	7908.057	7917.067	7885.188	7914.295	71228	179965	1
2021.04.14	09:45:00	7914.295	7947.560	7911.522	7935.085	84999	238487	1
2021.04.14	10:00:00	7935.085	7957.955	7928.848	7952.411	52821	150054	1
2021.04.14	10:15:00	7952.411	7955.876	7942.015	7948.253	28887	83182	1
2021.04.14	10:30:00	7948.253	7948.253	7914.295	7922.611	58874	170435	1
2021.04.14	10:45:00	7923.304	7923.304	7876.178	7880.337	71287	212538	1
2021.04.14	11:00:00	7880.337	7888.653	7872.713	7880.337	41077	116510	1
2021.04.14	11:15:00	7880.337	7892.118	7867.169	7880.337	44711	126300	1
2021.04.14	11:30:00	7881.030	7887.267	7872.713	7881.030	26185	83001	1
2021.04.14	11:45:00	7881.723	7888.653	7873.406	7885.188	22100	72616	1
2021.04.14	12:00:00	7885.881	7901.820	7881.723	7890.039	43927	146988	1
2021.04.14	12:15:00	7890.732	7898.355	7883.109	7891.425	23749	77769	1
2021.04.14	12:30:00	7891.425	7900.434	7888.653	7892.811	19366	64949	1
2021.04.14	12:45:00	7892.118	7892.811	7875.485	7883.109	26376	86638	1
2021.04.14	13:00:00	7883.109	7889.346	7872.020	7880.337	26687	94957	1
2021.04.14	13:15:00	7881.030	7882.416	7858.853	7873.406	31064	101012	1
2021.04.14	13:30:00	7872.713	7876.178	7863.011	7869.941	18686	57569	1
2021.04.14	13:45:00	7869.941	7878.950	7859.546	7878.257	26367	82016	1
2021.04.14	14:00:00	7878.950	7886.574	7876.178	7882.416	23513	84123	1
2021.04.14	14:15:00	7883.109	7887.960	7876.871	7885.881	21090	83687	1
2021.04.14	14:30:00	7885.881	7887.960	7874.099	7881.030	20534	67700	1
2021.04.14	14:45:00	7881.030	7899.048	7878.950	7894.197	27193	86693	1
2021.04.14	15:00:00	7894.197	7894.890	7876.871	7882.416	26272	87995	1
2021.04.14	15:15:00	7881.723	7890.039	7877.564	7878.950	17832	66833	1
2021.04.14	15:30:00	7878.257	7880.337	7872.713	7880.337	21350	82213	1
2021.04.14	15:45:00	7879.644	7903.899	7878.950	7901.820	35906	130569	1
2021.04.14	16:00:00	7901.127	7907.364	7881.723	7882.416	38350	136839	1
2021.04.14	16:15:00	7882.416	7883.109	7866.476	7871.327	27724	97051	1
2021.04.14	16:30:00	7871.327	7877.564	7869.941	7872.713	12496	38212	1
2021.04.14	16:45:00	7872.020	7879.644	7860.932	7866.476	14645	45717	1
2021.04.14	17:00:00	7866.476	7872.020	7863.011	7865.090	11233	36995	1
2021.04.14	17:15:00	7864.397	7865.090	7846.379	7851.923	18050	62728	1
2021.04.14	17:30:00	7852.616	7859.546	7833.211	7838.062	16861	52104	1
2021.04.14	17:45:00	7838.062	7849.151	7835.983	7847.765	8024	31575	1
2021.04.15	09:00:00	7843.606	7856.774	7822.816	7839.448	54004	136742	1
2021.04.15	09:15:00	7838.755	7838.755	7806.183	7811.727	66159	167660	1
2021.04.15	09:30:00	7811.727	7823.509	7784.700	7792.323	85175	226066	1
2021.04.15	09:45:00	7793.016	7793.709	7763.909	7781.928	69228	188632	1
2021.04.15	10:00:00	7781.928	7787.472	7768.067	7770.839	41199	120877	1
2021.04.15	10:15:00	7770.839	7795.788	7768.760	7787.472	45074	133473	1
