<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.14	09:00:00	195854	196723	195854	196534	103913	301418	1
2021.04.14	09:15:00	196526	196674	196305	196354	82516	255775	1
2021.04.14	09:30:00	196346	196461	196248	196305	75706	260456	1
2021.04.14	09:45:00	196313	196493	196092	196207	115608	412915	1
2021.04.14	10:00:00	196198	197125	196076	196993	204100	759579	1
2021.04.14	10:15:00	197002	197084	196608	196854	136416	509050	1
2021.04.14	10:30:00	196846	197592	196838	197338	205813	788097	1
2021.04.14	10:45:00	197346	197797	197280	197665	129968	514807	1
2021.04.14	11:00:00	197665	197829	197575	197690	84787	329212	1
2021.04.14	11:15:00	197682	197805	197592	197649	72935	310672	1
2021.04.14	11:30:00	197649	198051	197641	197936	108519	433426	1
2021.04.14	11:45:00	197944	198247	197911	198206	78634	322426	1
2021.04.14	12:00:00	198206	198264	198026	198133	66600	263497	1
2021.04.14	12:15:00	198133	198247	197960	198215	64191	261083	1
2021.04.14	12:30:00	198206	198239	198010	198051	40675	166676	1
2021.04.14	12:45:00	198042	198165	198034	198149	34069	150572	1
2021.04.14	13:00:00	198141	198165	197928	197993	64377	264634	1
2021.04.14	13:15:00	198001	198141	197969	198034	38698	156764	1
2021.04.14	13:30:00	198034	198657	198010	198452	82251	360963	1
2021.04.14	13:45:00	198444	198936	198305	198821	118919	501339	1
2021.04.14	14:00:00	198821	198837	198436	198641	73401	311231	1
2021.04.14	14:15:00	198649	198895	198583	198665	77126	341209	1
2021.04.14	14:30:00	198673	198723	198280	198403	83761	371496	1
2021.04.14	14:45:00	198395	198477	198092	198255	83126	370281	1
2021.04.14	15:00:00	198264	198305	197583	198034	158423	650852	1
2021.04.14	15:15:00	198042	198264	197936	198075	84396	357361	1
2021.04.14	15:30:00	198075	198141	197797	197993	80463	358094	1
2021.04.14	15:45:00	197985	198026	197600	197747	76273	363290	1
2021.04.14	16:00:00	197756	197903	197485	197895	114166	516570	1
2021.04.14	16:15:00	197895	198042	197797	197960	75286	338230	1
2021.04.14	16:30:00	197960	198165	197805	198100	74665	336473	1
2021.04.14	16:45:00	198108	198133	197805	197887	63431	293813	1
2021.04.14	17:00:00	197895	198018	197747	197788	42704	184914	1
2021.04.14	17:15:00	197788	197887	197715	197854	31701	131829	1
2021.04.14	17:30:00	197846	197985	197813	197895	26293	102833	1
